agent_id,age_bucket,occupation_class,mobility_class,vulnerability_score,home_grid_cell,hour,activity_grid_cell
0,child,student,mobile,0.5380812195557422,"8,9",0,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",1,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",2,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",3,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",4,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",5,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",6,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",7,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",8,"11,2"
0,child,student,mobile,0.5380812195557422,"8,9",9,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",10,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",11,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",12,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",13,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",14,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",15,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",16,"10,0"
0,child,student,mobile,0.5380812195557422,"8,9",17,"12,1"
0,child,student,mobile,0.5380812195557422,"8,9",18,"12,0"
0,child,student,mobile,0.5380812195557422,"8,9",19,"8,0"
0,child,student,mobile,0.5380812195557422,"8,9",20,"10,1"
0,child,student,mobile,0.5380812195557422,"8,9",21,"12,0"
0,child,student,mobile,0.5380812195557422,"8,9",22,"8,9"
0,child,student,mobile,0.5380812195557422,"8,9",23,"8,9"
1,child,student,mobile,0.5438885528571922,"16,5",0,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",1,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",2,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",3,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",4,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",5,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",6,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",7,"17,8"
1,child,student,mobile,0.5438885528571922,"16,5",8,"18,9"
1,child,student,mobile,0.5438885528571922,"16,5",9,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",10,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",11,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",12,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",13,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",14,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",15,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",16,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",17,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",18,"19,8"
1,child,student,mobile,0.5438885528571922,"16,5",19,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",20,"19,8"
1,child,student,mobile,0.5438885528571922,"16,5",21,"19,9"
1,child,student,mobile,0.5438885528571922,"16,5",22,"16,5"
1,child,student,mobile,0.5438885528571922,"16,5",23,"16,5"
2,elderly,resident,mobile,0.7202561588196462,"19,8",0,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",1,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",2,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",3,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",4,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",5,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",6,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",7,"5,2"
2,elderly,resident,mobile,0.7202561588196462,"19,8",8,"8,5"
2,elderly,resident,mobile,0.7202561588196462,"19,8",9,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",10,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",11,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",12,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",13,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",14,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",15,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",16,"6,4"
2,elderly,resident,mobile,0.7202561588196462,"19,8",17,"4,3"
2,elderly,resident,mobile,0.7202561588196462,"19,8",18,"6,6"
2,elderly,resident,mobile,0.7202561588196462,"19,8",19,"8,3"
2,elderly,resident,mobile,0.7202561588196462,"19,8",20,"7,2"
2,elderly,resident,mobile,0.7202561588196462,"19,8",21,"4,3"
2,elderly,resident,mobile,0.7202561588196462,"19,8",22,"19,8"
2,elderly,resident,mobile,0.7202561588196462,"19,8",23,"19,8"
3,adult,commuter,mobile,0.216473321571373,"14,3",0,"14,3"
3,adult,commuter,mobile,0.216473321571373,"14,3",1,"14,3"
3,adult,commuter,mobile,0.216473321571373,"14,3",2,"14,3"
3,adult,commuter,mobile,0.216473321571373,"14,3",3,"14,3"
3,adult,commuter,mobile,0.216473321571373,"14,3",4,"14,3"
3,adult,commuter,mobile,0.216473321571373,"14,3",5,"14,3"
3,adult,commuter,mobile,0.216473321571373,"14,3",6,"14,3"
3,adult,commuter,mobile,0.216473321571373,"14,3",7,"16,0"
3,adult,commuter,mobile,0.216473321571373,"14,3",8,"15,2"
3,adult,commuter,mobile,0.216473321571373,"14,3",9,"17,0"
3,adult,commuter,mobile,0.216473321571373,"14,3",10,"17,0"
3,adult,commuter,mobile,0.216473321571373,"14,3",11,"17,0"
3,adult,commuter,mobile,0.216473321571373,"14,3",12,"17,0"
